관광지명,대분류,중분류,MZ_비중,20대여성_비중,시니어_비중,남성_총비중,HHI_쏠림지수,연령다양성,주력_성연령,주력_비율,여성_총비중
화성어차,체험관광,기타체험,48.1,21.7,17.4,42.8,1002.0,12.29,20대 여성 비율,23.7,57.2
화성행궁,역사관광,역사유적지,48.1,21.7,17.4,42.8,1002.0,14.812,20대 여성 비율,23.6,57.2
화홍문(華虹門),역사관광,역사유적지,44.8,17.5,18.3,48.2,915.0,14.935,20대 여성 비율,21.6,51.8
효원공원,역사관광,역사유적지,46.6,13.5,12.8,49.4,917.0,15.055,20대 여성 비율,13.5,50.6
효원의종·서장대,역사관광,역사유적지,30.5,5.4,19.1,55.9,818.0,15.419,50대 남성 비율,12.5,44.1
나혜석거리,문화관광,도시.지역문화관광,60.6,18.9,8.1,51.7,1187.0,13.989,20대 여성 비율,20.0,48.3
매산시장,쇼핑,시장,68.8,27.0,4.3,51.8,1808.0,12.423,20대 남성 비율,30.4,48.2
못골종합시장(못골시장),쇼핑,시장,24.5,5.5,36.2,50.0,894.0,15.138,60대 여성 비율,14.0,50.0
서호공원,문화관광,도시공원,32.3,7.7,24.3,54.4,820.0,15.332,50대 남성 비율,12.2,45.6
서호꽃뫼공원,문화관광,도시공원,34.6,8.6,19.2,50.3,773.0,15.503,50대 남성 비율,11.1,49.7
수원공방거리,문화관광,도시.지역문화관광,34.1,9.4,25.8,48.6,808.0,15.366,50대 여성 비율,11.2,51.4
수원사(수원),역사관광,종교성지,37.2,10.8,23.0,51.1,811.0,15.341,50대 남성 비율,11.7,48.9
수원시립아이파크미술관,문화관광,전시시설,34.5,14.4,21.8,43.8,810.0,15.378,20대 여성 비율,21.0,56.2
수원역전시장,쇼핑,시장,55.7,18.3,12.8,55.6,1155.0,14.372,20대 남성 비율,24.5,44.4
수원영동시장,쇼핑,시장,23.0,5.8,38.9,46.0,882.0,15.053,60대 여성 비율,15.1,54.0
수원월드컵경기장(봉녕사),역사관광,종교성지,34.8,7.9,19.7,48.1,786.0,15.549,50대 여성 비율,11.4,51.9
수원통닭거리,문화관광,도시.지역문화관광,37.3,10.8,22.8,51.1,812.0,15.301,60대 여성 비율,12.9,48.9
수원향교,역사관광,역사유적지,34.3,8.0,21.1,52.7,874.0,14.959,50대 남성 비율,16.6,47.3
수원화령전,역사관광,역사유적지,60.9,29.5,12.3,38.3,1381.0,13.864,20대 여성 비율,29.9,61.7
수원화성관광특구,문화관광,복합관광시설,35.2,10.9,24.7,49.6,791.0,15.46,20대 여성 비율,11.2,50.4
수원화성박물관,문화관광,전시시설,37.3,10.8,23.0,51.2,813.0,15.343,50대 남성 비율,11.7,48.8
숙지공원,문화관광,도시공원,32.1,7.5,21.1,48.1,764.0,15.599,50대 여성 비율,11.1,51.9
연무대(동장대),역사관광,역사유적지,34.6,8.8,17.8,50.0,804.0,15.377,40대 남성 비율,12.3,50.0
인계예술공원,문화관광,도시공원,44.5,11.4,14.7,54.3,879.0,15.08,30대 남성 비율,13.6,45.7
장안문(長安門),역사관광,역사유적지,47.7,18.3,17.4,51.0,972.0,14.877,20대 여성 비율,18.3,49.0
창룡문,역사관광,역사유적지,35.0,8.5,18.1,51.3,817.0,15.38,40대 남성 비율,11.6,48.7
팔달공원,문화관광,도시공원,43.9,16.7,18.6,46.3,884.0,15.239,20대 여성 비율,17.2,53.7
팔달사(수원),역사관광,종교성지,34.2,9.4,26.0,48.7,814.0,15.375,50대 여성 비율,11.2,51.3
한옥기술전시관,문화관광,전시시설,59.8,28.4,11.8,39.9,1331.0,13.946,20대 여성 비율,30.0,60.1
화서공원,문화관광,도시공원,48.0,20.3,17.6,42.6,972.0,15.036,20대 여성 비율,21.1,57.4
화서문(華西門),역사관광,역사유적지,58.5,27.8,13.3,38.9,1289.0,14.188,20대 여성 비율,29.9,61.1
화성어차,체험관광,기타체험,51.0,22.8,16.3,42.1,1051.0,12.29,20대 여성 비율,23.7,57.9
화성행궁,역사관광,역사유적지,51.1,22.8,16.3,42.2,1052.0,14.812,20대 여성 비율,23.6,57.8
화홍문(華虹門),역사관광,역사유적지,48.3,18.9,17.0,44.3,954.0,14.935,20대 여성 비율,21.6,55.7
효원공원,역사관광,역사유적지,44.4,12.6,14.7,49.0,880.0,15.055,20대 여성 비율,13.5,51.0
효원의종·서장대,역사관광,역사유적지,28.1,4.7,22.4,55.8,795.0,15.419,50대 남성 비율,12.5,44.2
나혜석거리,문화관광,도시.지역문화관광,59.3,17.8,8.3,50.9,1141.0,13.989,20대 여성 비율,20.0,49.1
매산시장,쇼핑,시장,69.3,26.4,4.7,52.4,1744.0,12.423,20대 남성 비율,30.4,47.6
못골종합시장(못골시장),쇼핑,시장,25.5,6.0,38.2,47.8,877.0,15.138,60대 여성 비율,14.0,52.2
서호공원,문화관광,도시공원,33.7,6.6,23.8,55.7,832.0,15.332,50대 남성 비율,12.2,44.3
서호꽃뫼공원,문화관광,도시공원,33.3,7.7,20.4,50.4,774.0,15.503,50대 남성 비율,11.1,49.6
수원공방거리,문화관광,도시.지역문화관광,35.3,10.4,26.4,47.8,799.0,15.366,50대 여성 비율,11.2,52.2
수원사(수원),역사관광,종교성지,35.8,10.9,25.7,49.7,808.0,15.341,50대 남성 비율,11.7,50.3
수원시립아이파크미술관,문화관광,전시시설,34.3,14.2,26.8,42.7,789.0,15.378,20대 여성 비율,21.0,57.3
수원역전시장,쇼핑,시장,54.5,17.5,14.4,54.7,1086.0,14.372,20대 남성 비율,24.5,45.3
수원영동시장,쇼핑,시장,23.9,6.3,40.6,45.9,876.0,15.053,60대 여성 비율,15.1,54.1
수원월드컵경기장(봉녕사),역사관광,종교성지,32.3,7.4,21.8,48.7,761.0,15.549,50대 여성 비율,11.4,51.3
수원통닭거리,문화관광,도시.지역문화관광,35.8,10.9,25.7,49.7,808.0,15.301,60대 여성 비율,12.9,50.3
수원향교,역사관광,역사유적지,34.1,8.1,25.6,53.7,837.0,14.959,50대 남성 비율,16.6,46.3
수원화령전,역사관광,역사유적지,61.1,29.4,12.1,37.2,1379.0,13.864,20대 여성 비율,29.9,62.8
수원화성관광특구,문화관광,복합관광시설,35.4,10.8,25.8,48.9,790.0,15.46,20대 여성 비율,11.2,51.1
